date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-08-02,19:36:25.503,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,17.80,122.89,6.90,1.29,158.53,0.00,18.65,98,4,1991291,39,0,0.41,0.00,,
2025-08-02,19:36:25.503,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,17.80,122.89,6.90,1.29,158.53,0.00,18.65,98,4,1991291,39,0,0.41,0.00,,
2025-08-02,19:36:25.503,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,17.80,122.89,6.90,1.29,158.53,0.00,18.65,98,4,1991291,39,0,0.41,0.00,,
2025-08-02,19:36:25.503,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,17.80,122.89,6.90,1.29,158.53,0.00,18.65,98,4,1991291,39,0,0.41,0.00,,
2025-08-02,19:36:25.771,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,17.00,122.91,7.40,1.29,158.55,0.00,17.40,98,6,1991293,39,0,0.43,0.00,,
2025-08-02,19:36:25.771,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,17.00,122.91,7.40,1.29,158.55,0.00,17.40,98,6,1991293,39,0,0.43,0.00,,
2025-08-02,19:36:25.910,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,16.60,122.89,4.10,0.71,87.25,0.00,17.34,98,7,1991294,39,0,0.29,0.00,,
2025-08-02,19:36:26.131,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,16.00,122.82,0.90,0.17,20.88,0.00,19.32,98,8,1991295,39,0,0.09,0.00,,
2025-08-02,19:36:26.303,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.70,122.74,4.30,0.94,115.38,0.00,21.78,97,9,1991296,39,0,-0.14,0.00,,
2025-08-02,19:36:26.560,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.60,122.65,3.60,0.79,96.89,0.00,21.86,97,10,1991297,39,0,-0.15,0.00,,
2025-08-02,19:36:26.711,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.60,122.66,1.70,0.37,45.38,0.00,21.66,97,11,1991298,39,0,-0.04,0.00,,
2025-08-02,19:36:26.907,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.60,122.70,1.50,0.28,34.36,0.00,18.97,97,11,1991298,39,0,0.13,0.00,,
2025-08-02,19:36:27.118,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.60,122.75,3.80,0.66,81.02,0.00,17.44,97,12,1991299,39,0,0.23,0.00,,
2025-08-02,19:36:27.346,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.60,122.78,1.90,0.34,41.75,0.00,17.89,98,13,1991300,39,0,0.15,0.00,,
2025-08-02,19:36:27.583,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.60,122.77,1.90,0.34,41.74,0.00,17.80,97,14,1991301,39,0,0.14,0.00,,
2025-08-02,19:36:27.753,53.2995078,50.3260344,0.0,94.30000305175781,0.0,0,15.40,122.72,1.60,0.33,40.50,0.00,20.70,97,15,1991302,39,0,-0.03,0.00,,
